Domain Code,Domain,Reporter Country Code (M49),Reporter Countries,Partner Country Code (M49),Partner Countries,Element Code,Element,Item Code (CPC),Item,Year Code,Year,Unit,Value,Flag,Flag Description
"TM","Detailed trade matrix","040","Austria","826","United Kingdom of Great Britain and Northern Ireland","5910","Export quantity","F0875","Beef and veal preparations nes","2004","2004","t","2","A","Official figure"
"TM","Detailed trade matrix","040","Austria","826","United Kingdom of Great Britain and Northern Ireland","5910","Export quantity","F0875","Beef and veal preparations nes","2005","2005","t","8","A","Official figure"
"TM","Detailed trade matrix","040","Austria","826","United Kingdom of Great Britain and Northern Ireland","5910","Export quantity","F0875","Beef and veal preparations nes","2006","2006","t","5","A","Official figure"
"TM","Detailed trade matrix","040","Austria","826","United Kingdom of Great Britain and Northern Ireland","5910","Export quantity","F0875","Beef and veal preparations nes","2007","2007","t","3","A","Official figure"
"TM","Detailed trade matrix","040","Austria","826","United Kingdom of Great Britain and Northern Ireland","5910","Export quantity","F0875","Beef and veal preparations nes","2008","2008","t","0","A","Official figure"
"TM","Detailed trade matrix","040","Austria","826","United Kingdom of Great Britain and Northern Ireland","5910","Export quantity","F0875","Beef and veal preparations nes","2009","2009","t","0","A","Official figure"
"TM","Detailed trade matrix","040","Austria","826","United Kingdom of Great Britain and Northern Ireland","5910","Export quantity","F0875","Beef and veal preparations nes","2010","2010","t","0","A","Official figure"
"TM","Detailed trade matrix","040","Austria","826","United Kingdom of Great Britain and Northern Ireland","5910","Export quantity","F0875","Beef and veal preparations nes","2011","2011","t","17","A","Official figure"
"TM","Detailed trade matrix","040","Austria","826","United Kingdom of Great Britain and Northern Ireland","5910","Export quantity","F0875","Beef and veal preparations nes","2012","2012","t","138","A","Official figure"
"TM","Detailed trade matrix","040","Austria","826","United Kingdom of Great Britain and Northern Ireland","5910","Export quantity","F0875","Beef and veal preparations nes","2013","2013","t","101","A","Official figure"
"TM","Detailed trade matrix","040","Austria","826","United Kingdom of Great Britain and Northern Ireland","5910","Export quantity","F0875","Beef and veal preparations nes","2014","2014","t","16.8","A","Official figure"
"TM","Detailed trade matrix","040","Austria","826","United Kingdom of Great Britain and Northern Ireland","5910","Export quantity","F0875","Beef and veal preparations nes","2015","2015","t","4.5","A","Official figure"
"TM","Detailed trade matrix","040","Austria","826","United Kingdom of Great Britain and Northern Ireland","5910","Export quantity","F0875","Beef and veal preparations nes","2016","2016","t","2.8","A","Official figure"
"TM","Detailed trade matrix","040","Austria","826","United Kingdom of Great Britain and Northern Ireland","5910","Export quantity","F0875","Beef and veal preparations nes","2017","2017","t","0.5","A","Official figure"
"TM","Detailed trade matrix","040","Austria","826","United Kingdom of Great Britain and Northern Ireland","5910","Export quantity","F0875","Beef and veal preparations nes","2018","2018","t","0.05","A","Official figure"
"TM","Detailed trade matrix","040","Austria","826","United Kingdom of Great Britain and Northern Ireland","5910","Export quantity","F0875","Beef and veal preparations nes","2019","2019","t","0.05","A","Official figure"
"TM","Detailed trade matrix","040","Austria","826","United Kingdom of Great Britain and Northern Ireland","5910","Export quantity","F0875","Beef and veal preparations nes","2020","2020","t","1.17","A","Official figure"
"TM","Detailed trade matrix","040","Austria","826","United Kingdom of Great Britain and Northern Ireland","5910","Export quantity","F0875","Beef and veal preparations nes","2021","2021","t","2.32","A","Official figure"
"TM","Detailed trade matrix","040","Austria","826","United Kingdom of Great Britain and Northern Ireland","5910","Export quantity","F0875","Beef and veal preparations nes","2022","2022","t","0.22","A","Official figure"
"TM","Detailed trade matrix","040","Austria","826","United Kingdom of Great Britain and Northern Ireland","5910","Export quantity","F0875","Beef and veal preparations nes","2023","2023","t","8.84","A","Official figure"
"TM","Detailed trade matrix","040","Austria","826","United Kingdom of Great Britain and Northern Ireland","5910","Export quantity","F0875","Beef and veal preparations nes","2024","2024","t","3.05","A","Official figure"
"TM","Detailed trade matrix","044","Bahamas","826","United Kingdom of Great Britain and Northern Ireland","5910","Export quantity","F0875","Beef and veal preparations nes","2021","2021","t","9.07","A","Official figure"
"TM","Detailed trade matrix","048","Bahrain","826","United Kingdom of Great Britain and Northern Ireland","5910","Export quantity","F0875","Beef and veal preparations nes","2013","2013","t","0","A","Official figure"
"TM","Detailed trade matrix","048","Bahrain","826","United Kingdom of Great Britain and Northern Ireland","5910","Export quantity","F0875","Beef and veal preparations nes","2014","2014","t","0.17","A","Official figure"
"TM","Detailed trade matrix","048","Bahrain","826","United Kingdom of Great Britain and Northern Ireland","5910","Export quantity","F0875","Beef and veal preparations nes","2015","2015","t","0.11","A","Official figure"
"TM","Detailed trade matrix","048","Bahrain","826","United Kingdom of Great Britain and Northern Ireland","5910","Export quantity","F0875","Beef and veal preparations nes","2016","2016","t","0.07","A","Official figure"
"TM","Detailed trade matrix","048","Bahrain","826","United Kingdom of Great Britain and Northern Ireland","5910","Export quantity","F0875","Beef and veal preparations nes","2017","2017","t","0.1","A","Official figure"
"TM","Detailed trade matrix","048","Bahrain","826","United Kingdom of Great Britain and Northern Ireland","5910","Export quantity","F0875","Beef and veal preparations nes","2020","2020","t","0.16","A","Official figure"
"TM","Detailed trade matrix","048","Bahrain","826","United Kingdom of Great Britain and Northern Ireland","5910","Export quantity","F0875","Beef and veal preparations nes","2021","2021","t","0.05","A","Official figure"
"TM","Detailed trade matrix","056","Belgium","826","United Kingdom of Great Britain and Northern Ireland","5910","Export quantity","F0875","Beef and veal preparations nes","2001","2001","t","63","A","Official figure"
"TM","Detailed trade matrix","056","Belgium","826","United Kingdom of Great Britain and Northern Ireland","5910","Export quantity","F0875","Beef and veal preparations nes","2002","2002","t","119","A","Official figure"
"TM","Detailed trade matrix","056","Belgium","826","United Kingdom of Great Britain and Northern Ireland","5910","Export quantity","F0875","Beef and veal preparations nes","2003","2003","t","231","A","Official figure"
"TM","Detailed trade matrix","056","Belgium","826","United Kingdom of Great Britain and Northern Ireland","5910","Export quantity","F0875","Beef and veal preparations nes","2004","2004","t","728","A","Official figure"
"TM","Detailed trade matrix","056","Belgium","826","United Kingdom of Great Britain and Northern Ireland","5910","Export quantity","F0875","Beef and veal preparations nes","2005","2005","t","1025","A","Official figure"
"TM","Detailed trade matrix","056","Belgium","826","United Kingdom of Great Britain and Northern Ireland","5910","Export quantity","F0875","Beef and veal preparations nes","2006","2006","t","1231","A","Official figure"
"TM","Detailed trade matrix","056","Belgium","826","United Kingdom of Great Britain and Northern Ireland","5910","Export quantity","F0875","Beef and veal preparations nes","2007","2007","t","1752","A","Official figure"
"TM","Detailed trade matrix","056","Belgium","826","United Kingdom of Great Britain and Northern Ireland","5910","Export quantity","F0875","Beef and veal preparations nes","2008","2008","t","1343","A","Official figure"
"TM","Detailed trade matrix","056","Belgium","826","United Kingdom of Great Britain and Northern Ireland","5910","Export quantity","F0875","Beef and veal preparations nes","2009","2009","t","1164","A","Official figure"
"TM","Detailed trade matrix","056","Belgium","826","United Kingdom of Great Britain and Northern Ireland","5910","Export quantity","F0875","Beef and veal preparations nes","2010","2010","t","1140","A","Official figure"
"TM","Detailed trade matrix","056","Belgium","826","United Kingdom of Great Britain and Northern Ireland","5910","Export quantity","F0875","Beef and veal preparations nes","2011","2011","t","1089","A","Official figure"
"TM","Detailed trade matrix","056","Belgium","826","United Kingdom of Great Britain and Northern Ireland","5910","Export quantity","F0875","Beef and veal preparations nes","2012","2012","t","649","A","Official figure"
"TM","Detailed trade matrix","056","Belgium","826","United Kingdom of Great Britain and Northern Ireland","5910","Export quantity","F0875","Beef and veal preparations nes","2013","2013","t","972","A","Official figure"
"TM","Detailed trade matrix","056","Belgium","826","United Kingdom of Great Britain and Northern Ireland","5910","Export quantity","F0875","Beef and veal preparations nes","2014","2014","t","1177.4","A","Official figure"
"TM","Detailed trade matrix","056","Belgium","826","United Kingdom of Great Britain and Northern Ireland","5910","Export quantity","F0875","Beef and veal preparations nes","2015","2015","t","3109.9","A","Official figure"
"TM","Detailed trade matrix","056","Belgium","826","United Kingdom of Great Britain and Northern Ireland","5910","Export quantity","F0875","Beef and veal preparations nes","2016","2016","t","578.2","A","Official figure"
"TM","Detailed trade matrix","056","Belgium","826","United Kingdom of Great Britain and Northern Ireland","5910","Export quantity","F0875","Beef and veal preparations nes","2017","2017","t","716.61","A","Official figure"
"TM","Detailed trade matrix","056","Belgium","826","United Kingdom of Great Britain and Northern Ireland","5910","Export quantity","F0875","Beef and veal preparations nes","2018","2018","t","968.44","A","Official figure"
"TM","Detailed trade matrix","056","Belgium","826","United Kingdom of Great Britain and Northern Ireland","5910","Export quantity","F0875","Beef and veal preparations nes","2019","2019","t","1063.21","A","Official figure"
"TM","Detailed trade matrix","056","Belgium","826","United Kingdom of Great Britain and Northern Ireland","5910","Export quantity","F0875","Beef and veal preparations nes","2020","2020","t","630.53","A","Official figure"
"TM","Detailed trade matrix","056","Belgium","826","United Kingdom of Great Britain and Northern Ireland","5910","Export quantity","F0875","Beef and veal preparations nes","2021","2021","t","603.67","A","Official figure"
"TM","Detailed trade matrix","056","Belgium","826","United Kingdom of Great Britain and Northern Ireland","5910","Export quantity","F0875","Beef and veal preparations nes","2022","2022","t","1471.56","A","Official figure"
"TM","Detailed trade matrix","056","Belgium","826","United Kingdom of Great Britain and Northern Ireland","5910","Export quantity","F0875","Beef and veal preparations nes","2023","2023","t","982.2","A","Official figure"
"TM","Detailed trade matrix","056","Belgium","826","United Kingdom of Great Britain and Northern Ireland","5910","Export quantity","F0875","Beef and veal preparations nes","2024","2024","t","874.39","A","Official figure"
"TM","Detailed trade matrix","072","Botswana","826","United Kingdom of Great Britain and Northern Ireland","5910","Export quantity","F0875","Beef and veal preparations nes","2001","2001","t","184","A","Official figure"
"TM","Detailed trade matrix","072","Botswana","826","United Kingdom of Great Britain and Northern Ireland","5910","Export quantity","F0875","Beef and veal preparations nes","2007","2007","t","164","A","Official figure"
"TM","Detailed trade matrix","072","Botswana","826","United Kingdom of Great Britain and Northern Ireland","5910","Export quantity","F0875","Beef and veal preparations nes","2008","2008","t","115","A","Official figure"
"TM","Detailed trade matrix","072","Botswana","826","United Kingdom of Great Britain and Northern Ireland","5910","Export quantity","F0875","Beef and veal preparations nes","2009","2009","t","80","A","Official figure"
"TM","Detailed trade matrix","072","Botswana","826","United Kingdom of Great Britain and Northern Ireland","5910","Export quantity","F0875","Beef and veal preparations nes","2010","2010","t","55","A","Official figure"
"TM","Detailed trade matrix","072","Botswana","826","United Kingdom of Great Britain and Northern Ireland","5910","Export quantity","F0875","Beef and veal preparations nes","2021","2021","t","0.01","A","Official figure"
"TM","Detailed trade matrix","072","Botswana","826","United Kingdom of Great Britain and Northern Ireland","5910","Export quantity","F0875","Beef and veal preparations nes","2022","2022","t","0.01","A","Official figure"
"TM","Detailed trade matrix","076","Brazil","826","United Kingdom of Great Britain and Northern Ireland","5910","Export quantity","F0875","Beef and veal preparations nes","2001","2001","t","51535","A","Official figure"
"TM","Detailed trade matrix","076","Brazil","826","United Kingdom of Great Britain and Northern Ireland","5910","Export quantity","F0875","Beef and veal preparations nes","2002","2002","t","55302","A","Official figure"
"TM","Detailed trade matrix","076","Brazil","826","United Kingdom of Great Britain and Northern Ireland","5910","Export quantity","F0875","Beef and veal preparations nes","2003","2003","t","54349","A","Official figure"
"TM","Detailed trade matrix","076","Brazil","826","United Kingdom of Great Britain and Northern Ireland","5910","Export quantity","F0875","Beef and veal preparations nes","2004","2004","t","59563","A","Official figure"
"TM","Detailed trade matrix","076","Brazil","826","United Kingdom of Great Britain and Northern Ireland","5910","Export quantity","F0875","Beef and veal preparations nes","2005","2005","t","52510","A","Official figure"
"TM","Detailed trade matrix","076","Brazil","826","United Kingdom of Great Britain and Northern Ireland","5910","Export quantity","F0875","Beef and veal preparations nes","2006","2006","t","51244","A","Official figure"
"TM","Detailed trade matrix","076","Brazil","826","United Kingdom of Great Britain and Northern Ireland","5910","Export quantity","F0875","Beef and veal preparations nes","2007","2007","t","60191","A","Official figure"
"TM","Detailed trade matrix","076","Brazil","826","United Kingdom of Great Britain and Northern Ireland","5910","Export quantity","F0875","Beef and veal preparations nes","2008","2008","t","50730","A","Official figure"
"TM","Detailed trade matrix","076","Brazil","826","United Kingdom of Great Britain and Northern Ireland","5910","Export quantity","F0875","Beef and veal preparations nes","2009","2009","t","45594","A","Official figure"
"TM","Detailed trade matrix","076","Brazil","826","United Kingdom of Great Britain and Northern Ireland","5910","Export quantity","F0875","Beef and veal preparations nes","2010","2010","t","42473","A","Official figure"
"TM","Detailed trade matrix","076","Brazil","826","United Kingdom of Great Britain and Northern Ireland","5910","Export quantity","F0875","Beef and veal preparations nes","2011","2011","t","33210","A","Official figure"
"TM","Detailed trade matrix","076","Brazil","826","United Kingdom of Great Britain and Northern Ireland","5910","Export quantity","F0875","Beef and veal preparations nes","2012","2012","t","32680","A","Official figure"
"TM","Detailed trade matrix","076","Brazil","826","United Kingdom of Great Britain and Northern Ireland","5910","Export quantity","F0875","Beef and veal preparations nes","2013","2013","t","30756","A","Official figure"
"TM","Detailed trade matrix","076","Brazil","826","United Kingdom of Great Britain and Northern Ireland","5910","Export quantity","F0875","Beef and veal preparations nes","2014","2014","t","30324.15","A","Official figure"
"TM","Detailed trade matrix","076","Brazil","826","United Kingdom of Great Britain and Northern Ireland","5910","Export quantity","F0875","Beef and veal preparations nes","2015","2015","t","24928.3","A","Official figure"
"TM","Detailed trade matrix","076","Brazil","826","United Kingdom of Great Britain and Northern Ireland","5910","Export quantity","F0875","Beef and veal preparations nes","2016","2016","t","27102.94","A","Official figure"
"TM","Detailed trade matrix","076","Brazil","826","United Kingdom of Great Britain and Northern Ireland","5910","Export quantity","F0875","Beef and veal preparations nes","2017","2017","t","22909.83","A","Official figure"
"TM","Detailed trade matrix","076","Brazil","826","United Kingdom of Great Britain and Northern Ireland","5910","Export quantity","F0875","Beef and veal preparations nes","2018","2018","t","23595.32","A","Official figure"
"TM","Detailed trade matrix","076","Brazil","826","United Kingdom of Great Britain and Northern Ireland","5910","Export quantity","F0875","Beef and veal preparations nes","2019","2019","t","21039.6","A","Official figure"
"TM","Detailed trade matrix","076","Brazil","826","United Kingdom of Great Britain and Northern Ireland","5910","Export quantity","F0875","Beef and veal preparations nes","2020","2020","t","23331.53","A","Official figure"
"TM","Detailed trade matrix","076","Brazil","826","United Kingdom of Great Britain and Northern Ireland","5910","Export quantity","F0875","Beef and veal preparations nes","2021","2021","t","17078.41","A","Official figure"
"TM","Detailed trade matrix","076","Brazil","826","United Kingdom of Great Britain and Northern Ireland","5910","Export quantity","F0875","Beef and veal preparations nes","2022","2022","t","19223.95","A","Official figure"
"TM","Detailed trade matrix","076","Brazil","826","United Kingdom of Great Britain and Northern Ireland","5910","Export quantity","F0875","Beef and veal preparations nes","2023","2023","t","19773.02","A","Official figure"
"TM","Detailed trade matrix","076","Brazil","826","United Kingdom of Great Britain and Northern Ireland","5910","Export quantity","F0875","Beef and veal preparations nes","2024","2024","t","18456.13","A","Official figure"
"TM","Detailed trade matrix","096","Brunei Darussalam","826","United Kingdom of Great Britain and Northern Ireland","5910","Export quantity","F0875","Beef and veal preparations nes","2015","2015","t","0","A","Official figure"
"TM","Detailed trade matrix","100","Bulgaria","826","United Kingdom of Great Britain and Northern Ireland","5910","Export quantity","F0875","Beef and veal preparations nes","2001","2001","t","1","A","Official figure"
"TM","Detailed trade matrix","100","Bulgaria","826","United Kingdom of Great Britain and Northern Ireland","5910","Export quantity","F0875","Beef and veal preparations nes","2002","2002","t","1","A","Official figure"
"TM","Detailed trade matrix","100","Bulgaria","826","United Kingdom of Great Britain and Northern Ireland","5910","Export quantity","F0875","Beef and veal preparations nes","2003","2003","t","0","A","Official figure"
"TM","Detailed trade matrix","100","Bulgaria","826","United Kingdom of Great Britain and Northern Ireland","5910","Export quantity","F0875","Beef and veal preparations nes","2004","2004","t","0","A","Official figure"
"TM","Detailed trade matrix","100","Bulgaria","826","United Kingdom of Great Britain and Northern Ireland","5910","Export quantity","F0875","Beef and veal preparations nes","2005","2005","t","0","A","Official figure"
"TM","Detailed trade matrix","100","Bulgaria","826","United Kingdom of Great Britain and Northern Ireland","5910","Export quantity","F0875","Beef and veal preparations nes","2006","2006","t","1","A","Official figure"
"TM","Detailed trade matrix","100","Bulgaria","826","United Kingdom of Great Britain and Northern Ireland","5910","Export quantity","F0875","Beef and veal preparations nes","2007","2007","t","6","A","Official figure"
"TM","Detailed trade matrix","100","Bulgaria","826","United Kingdom of Great Britain and Northern Ireland","5910","Export quantity","F0875","Beef and veal preparations nes","2008","2008","t","1","A","Official figure"
"TM","Detailed trade matrix","100","Bulgaria","826","United Kingdom of Great Britain and Northern Ireland","5910","Export quantity","F0875","Beef and veal preparations nes","2009","2009","t","2","A","Official figure"
"TM","Detailed trade matrix","100","Bulgaria","826","United Kingdom of Great Britain and Northern Ireland","5910","Export quantity","F0875","Beef and veal preparations nes","2010","2010","t","2","A","Official figure"
"TM","Detailed trade matrix","100","Bulgaria","826","United Kingdom of Great Britain and Northern Ireland","5910","Export quantity","F0875","Beef and veal preparations nes","2011","2011","t","2","A","Official figure"
"TM","Detailed trade matrix","100","Bulgaria","826","United Kingdom of Great Britain and Northern Ireland","5910","Export quantity","F0875","Beef and veal preparations nes","2012","2012","t","3","A","Official figure"
"TM","Detailed trade matrix","100","Bulgaria","826","United Kingdom of Great Britain and Northern Ireland","5910","Export quantity","F0875","Beef and veal preparations nes","2013","2013","t","2","A","Official figure"
"TM","Detailed trade matrix","100","Bulgaria","826","United Kingdom of Great Britain and Northern Ireland","5910","Export quantity","F0875","Beef and veal preparations nes","2014","2014","t","12","A","Official figure"
"TM","Detailed trade matrix","100","Bulgaria","826","United Kingdom of Great Britain and Northern Ireland","5910","Export quantity","F0875","Beef and veal preparations nes","2015","2015","t","15.5","A","Official figure"
"TM","Detailed trade matrix","100","Bulgaria","826","United Kingdom of Great Britain and Northern Ireland","5910","Export quantity","F0875","Beef and veal preparations nes","2016","2016","t","23.32","A","Official figure"
"TM","Detailed trade matrix","100","Bulgaria","826","United Kingdom of Great Britain and Northern Ireland","5910","Export quantity","F0875","Beef and veal preparations nes","2017","2017","t","40.21","A","Official figure"
"TM","Detailed trade matrix","100","Bulgaria","826","United Kingdom of Great Britain and Northern Ireland","5910","Export quantity","F0875","Beef and veal preparations nes","2018","2018","t","34.44","A","Official figure"
"TM","Detailed trade matrix","100","Bulgaria","826","United Kingdom of Great Britain and Northern Ireland","5910","Export quantity","F0875","Beef and veal preparations nes","2019","2019","t","36.25","A","Official figure"
"TM","Detailed trade matrix","100","Bulgaria","826","United Kingdom of Great Britain and Northern Ireland","5910","Export quantity","F0875","Beef and veal preparations nes","2020","2020","t","28.96","A","Official figure"
"TM","Detailed trade matrix","100","Bulgaria","826","United Kingdom of Great Britain and Northern Ireland","5910","Export quantity","F0875","Beef and veal preparations nes","2021","2021","t","46.95","A","Official figure"
"TM","Detailed trade matrix","100","Bulgaria","826","United Kingdom of Great Britain and Northern Ireland","5910","Export quantity","F0875","Beef and veal preparations nes","2022","2022","t","40.69","A","Official figure"
"TM","Detailed trade matrix","100","Bulgaria","826","United Kingdom of Great Britain and Northern Ireland","5910","Export quantity","F0875","Beef and veal preparations nes","2023","2023","t","66.7","A","Official figure"
"TM","Detailed trade matrix","100","Bulgaria","826","United Kingdom of Great Britain and Northern Ireland","5910","Export quantity","F0875","Beef and veal preparations nes","2024","2024","t","60.02","A","Official figure"
"TM","Detailed trade matrix","116","Cambodia","826","United Kingdom of Great Britain and Northern Ireland","5910","Export quantity","F0875","Beef and veal preparations nes","2024","2024","t","0","A","Official figure"
"TM","Detailed trade matrix","124","Canada","826","United Kingdom of Great Britain and Northern Ireland","5910","Export quantity","F0875","Beef and veal preparations nes","2001","2001","t","20","A","Official figure"
"TM","Detailed trade matrix","152","Chile","826","United Kingdom of Great Britain and Northern Ireland","5910","Export quantity","F0875","Beef and veal preparations nes","2004","2004","t","0","A","Official figure"
"TM","Detailed trade matrix","156","China, mainland","826","United Kingdom of Great Britain and Northern Ireland","5910","Export quantity","F0875","Beef and veal preparations nes","2013","2013","t","1","A","Official figure"
"TM","Detailed trade matrix","156","China, mainland","826","United Kingdom of Great Britain and Northern Ireland","5910","Export quantity","F0875","Beef and veal preparations nes","2014","2014","t","0.28","A","Official figure"
"TM","Detailed trade matrix","156","China, mainland","826","United Kingdom of Great Britain and Northern Ireland","5910","Export quantity","F0875","Beef and veal preparations nes","2024","2024","t","0.04","A","Official figure"
"TM","Detailed trade matrix","158","China, Taiwan Province of","826","United Kingdom of Great Britain and Northern Ireland","5910","Export quantity","F0875","Beef and veal preparations nes","2004","2004","t","0","A","Official figure"
"TM","Detailed trade matrix","158","China, Taiwan Province of","826","United Kingdom of Great Britain and Northern Ireland","5910","Export quantity","F0875","Beef and veal preparations nes","2005","2005","t","0","A","Official figure"
"TM","Detailed trade matrix","158","China, Taiwan Province of","826","United Kingdom of Great Britain and Northern Ireland","5910","Export quantity","F0875","Beef and veal preparations nes","2006","2006","t","0","A","Official figure"
"TM","Detailed trade matrix","170","Colombia","826","United Kingdom of Great Britain and Northern Ireland","5910","Export quantity","F0875","Beef and veal preparations nes","2005","2005","t","0","A","Official figure"
"TM","Detailed trade matrix","191","Croatia","826","United Kingdom of Great Britain and Northern Ireland","5910","Export quantity","F0875","Beef and veal preparations nes","2001","2001","t","7","A","Official figure"
"TM","Detailed trade matrix","191","Croatia","826","United Kingdom of Great Britain and Northern Ireland","5910","Export quantity","F0875","Beef and veal preparations nes","2002","2002","t","7","A","Official figure"
"TM","Detailed trade matrix","191","Croatia","826","United Kingdom of Great Britain and Northern Ireland","5910","Export quantity","F0875","Beef and veal preparations nes","2003","2003","t","24","A","Official figure"
"TM","Detailed trade matrix","191","Croatia","826","United Kingdom of Great Britain and Northern Ireland","5910","Export quantity","F0875","Beef and veal preparations nes","2004","2004","t","19","A","Official figure"
"TM","Detailed trade matrix","191","Croatia","826","United Kingdom of Great Britain and Northern Ireland","5910","Export quantity","F0875","Beef and veal preparations nes","2005","2005","t","24","A","Official figure"
"TM","Detailed trade matrix","191","Croatia","826","United Kingdom of Great Britain and Northern Ireland","5910","Export quantity","F0875","Beef and veal preparations nes","2006","2006","t","24","A","Official figure"
"TM","Detailed trade matrix","191","Croatia","826","United Kingdom of Great Britain and Northern Ireland","5910","Export quantity","F0875","Beef and veal preparations nes","2007","2007","t","17","A","Official figure"
"TM","Detailed trade matrix","191","Croatia","826","United Kingdom of Great Britain and Northern Ireland","5910","Export quantity","F0875","Beef and veal preparations nes","2008","2008","t","21","A","Official figure"
"TM","Detailed trade matrix","191","Croatia","826","United Kingdom of Great Britain and Northern Ireland","5910","Export quantity","F0875","Beef and veal preparations nes","2009","2009","t","7","A","Official figure"
"TM","Detailed trade matrix","191","Croatia","826","United Kingdom of Great Britain and Northern Ireland","5910","Export quantity","F0875","Beef and veal preparations nes","2010","2010","t","11","A","Official figure"
"TM","Detailed trade matrix","191","Croatia","826","United Kingdom of Great Britain and Northern Ireland","5910","Export quantity","F0875","Beef and veal preparations nes","2011","2011","t","4","A","Official figure"
"TM","Detailed trade matrix","191","Croatia","826","United Kingdom of Great Britain and Northern Ireland","5910","Export quantity","F0875","Beef and veal preparations nes","2012","2012","t","14","A","Official figure"
"TM","Detailed trade matrix","191","Croatia","826","United Kingdom of Great Britain and Northern Ireland","5910","Export quantity","F0875","Beef and veal preparations nes","2013","2013","t","13","A","Official figure"
"TM","Detailed trade matrix","191","Croatia","826","United Kingdom of Great Britain and Northern Ireland","5910","Export quantity","F0875","Beef and veal preparations nes","2014","2014","t","9.6","A","Official figure"
"TM","Detailed trade matrix","191","Croatia","826","United Kingdom of Great Britain and Northern Ireland","5910","Export quantity","F0875","Beef and veal preparations nes","2015","2015","t","17.4","A","Official figure"
"TM","Detailed trade matrix","191","Croatia","826","United Kingdom of Great Britain and Northern Ireland","5910","Export quantity","F0875","Beef and veal preparations nes","2016","2016","t","7.75","A","Official figure"
"TM","Detailed trade matrix","191","Croatia","826","United Kingdom of Great Britain and Northern Ireland","5910","Export quantity","F0875","Beef and veal preparations nes","2017","2017","t","14.15","A","Official figure"
