country,import_country,commodity,measure,year,unit,uk_import_qty_t,data_quality,iso3,log_uk_import_qty_t
Brazil,United Kingdom of Great Britain and Northern Ireland,Beef and veal preparations nes,Export quantity,2016,t,27102.94,Official figure,BRA,10.207434383753935
Brazil,United Kingdom of Great Britain and Northern Ireland,Beef and veal preparations nes,Export quantity,2017,t,22909.83,Official figure,BRA,10.03936500351238
Brazil,United Kingdom of Great Britain and Northern Ireland,Beef and veal preparations nes,Export quantity,2018,t,23595.32,Official figure,BRA,10.068846046651622
Brazil,United Kingdom of Great Britain and Northern Ireland,Beef and veal preparations nes,Export quantity,2019,t,21039.6,Official figure,BRA,9.954209183555307
Brazil,United Kingdom of Great Britain and Northern Ireland,Beef and veal preparations nes,Export quantity,2020,t,23331.53,Official figure,BRA,10.057603803199282
Botswana,United Kingdom of Great Britain and Northern Ireland,Beef and veal preparations nes,Export quantity,2010,t,55.0,Official figure,BWA,4.02535169073515
Czechia,United Kingdom of Great Britain and Northern Ireland,Beef and veal preparations nes,Export quantity,2010,t,35.0,Official figure,CZE,3.58351893845611
Czechia,United Kingdom of Great Britain and Northern Ireland,Beef and veal preparations nes,Export quantity,2011,t,2.0,Official figure,CZE,1.0986122886681098
Czechia,United Kingdom of Great Britain and Northern Ireland,Beef and veal preparations nes,Export quantity,2012,t,2.0,Official figure,CZE,1.0986122886681098
Czechia,United Kingdom of Great Britain and Northern Ireland,Beef and veal preparations nes,Export quantity,2013,t,6.0,Official figure,CZE,1.9459101490553132
Czechia,United Kingdom of Great Britain and Northern Ireland,Beef and veal preparations nes,Export quantity,2014,t,34.8,Official figure,CZE,3.5779478934066544
Czechia,United Kingdom of Great Britain and Northern Ireland,Beef and veal preparations nes,Export quantity,2015,t,2.7,Official figure,CZE,1.308332819650179
Czechia,United Kingdom of Great Britain and Northern Ireland,Beef and veal preparations nes,Export quantity,2016,t,0.61,Official figure,CZE,0.4762341789963716
Czechia,United Kingdom of Great Britain and Northern Ireland,Beef and veal preparations nes,Export quantity,2017,t,0.24,Official figure,CZE,0.2151113796169455
Czechia,United Kingdom of Great Britain and Northern Ireland,Beef and veal preparations nes,Export quantity,2018,t,0.2,Official figure,CZE,0.18232155679395462
Czechia,United Kingdom of Great Britain and Northern Ireland,Beef and veal preparations nes,Export quantity,2019,t,1.06,Official figure,CZE,0.7227059828014898
Czechia,United Kingdom of Great Britain and Northern Ireland,Beef and veal preparations nes,Export quantity,2020,t,0.81,Official figure,CZE,0.5933268452777344
Germany,United Kingdom of Great Britain and Northern Ireland,Beef and veal preparations nes,Export quantity,2010,t,1056.0,Official figure,DEU,6.963189985870238
Germany,United Kingdom of Great Britain and Northern Ireland,Beef and veal preparations nes,Export quantity,2011,t,1115.0,Official figure,DEU,7.017506142941256
Germany,United Kingdom of Great Britain and Northern Ireland,Beef and veal preparations nes,Export quantity,2012,t,762.0,Official figure,DEU,6.637258031284457
Germany,United Kingdom of Great Britain and Northern Ireland,Beef and veal preparations nes,Export quantity,2013,t,885.0,Official figure,DEU,6.786716950605081
Germany,United Kingdom of Great Britain and Northern Ireland,Beef and veal preparations nes,Export quantity,2014,t,552.7,Official figure,DEU,6.316623023828922
Germany,United Kingdom of Great Britain and Northern Ireland,Beef and veal preparations nes,Export quantity,2015,t,442.4,Official figure,DEU,6.094472297182211
Germany,United Kingdom of Great Britain and Northern Ireland,Beef and veal preparations nes,Export quantity,2016,t,406.52,Official figure,DEU,6.010090011231147
Germany,United Kingdom of Great Britain and Northern Ireland,Beef and veal preparations nes,Export quantity,2017,t,1007.13,Official figure,DEU,6.915852408569592
Germany,United Kingdom of Great Britain and Northern Ireland,Beef and veal preparations nes,Export quantity,2018,t,1284.68,Official figure,DEU,7.159043040240815
Germany,United Kingdom of Great Britain and Northern Ireland,Beef and veal preparations nes,Export quantity,2019,t,1854.1,Official figure,DEU,7.525693881944328
Germany,United Kingdom of Great Britain and Northern Ireland,Beef and veal preparations nes,Export quantity,2020,t,2026.08,Official figure,DEU,7.614351612866087
Denmark,United Kingdom of Great Britain and Northern Ireland,Beef and veal preparations nes,Export quantity,2010,t,2549.0,Official figure,DNK,7.843848638152472
Denmark,United Kingdom of Great Britain and Northern Ireland,Beef and veal preparations nes,Export quantity,2011,t,3374.0,Official figure,DNK,8.12415060330663
Denmark,United Kingdom of Great Britain and Northern Ireland,Beef and veal preparations nes,Export quantity,2012,t,3177.0,Official figure,DNK,8.064007347096661
Denmark,United Kingdom of Great Britain and Northern Ireland,Beef and veal preparations nes,Export quantity,2013,t,2282.0,Official figure,DNK,7.733245646529795
Denmark,United Kingdom of Great Britain and Northern Ireland,Beef and veal preparations nes,Export quantity,2014,t,2477.9,Official figure,DNK,7.815570192375248
Denmark,United Kingdom of Great Britain and Northern Ireland,Beef and veal preparations nes,Export quantity,2015,t,2600.2,Official figure,DNK,7.8637281559949965
Denmark,United Kingdom of Great Britain and Northern Ireland,Beef and veal preparations nes,Export quantity,2016,t,1588.57,Official figure,DNK,7.371218818387145
Denmark,United Kingdom of Great Britain and Northern Ireland,Beef and veal preparations nes,Export quantity,2017,t,1861.63,Official figure,DNK,7.52974474647562
Denmark,United Kingdom of Great Britain and Northern Ireland,Beef and veal preparations nes,Export quantity,2018,t,1960.56,Official figure,DNK,7.5814953540168535
Denmark,United Kingdom of Great Britain and Northern Ireland,Beef and veal preparations nes,Export quantity,2019,t,1925.79,Official figure,DNK,7.563610684790345
Denmark,United Kingdom of Great Britain and Northern Ireland,Beef and veal preparations nes,Export quantity,2020,t,3045.64,Official figure,DNK,8.021794623006551
Spain,United Kingdom of Great Britain and Northern Ireland,Beef and veal preparations nes,Export quantity,2010,t,1.0,Official figure,ESP,0.6931471805599453
Spain,United Kingdom of Great Britain and Northern Ireland,Beef and veal preparations nes,Export quantity,2012,t,9.0,Official figure,ESP,2.302585092994046
Spain,United Kingdom of Great Britain and Northern Ireland,Beef and veal preparations nes,Export quantity,2013,t,16.0,Official figure,ESP,2.833213344056216
Spain,United Kingdom of Great Britain and Northern Ireland,Beef and veal preparations nes,Export quantity,2014,t,4.1,Official figure,ESP,1.62924053973028
Spain,United Kingdom of Great Britain and Northern Ireland,Beef and veal preparations nes,Export quantity,2015,t,9.23,Official figure,ESP,2.325324579963535
Spain,United Kingdom of Great Britain and Northern Ireland,Beef and veal preparations nes,Export quantity,2016,t,43.13,Official figure,ESP,3.7871398232814557
Spain,United Kingdom of Great Britain and Northern Ireland,Beef and veal preparations nes,Export quantity,2017,t,156.72,Official figure,ESP,5.060821309009427
Spain,United Kingdom of Great Britain and Northern Ireland,Beef and veal preparations nes,Export quantity,2018,t,268.05,Official figure,ESP,5.594897235935429
Spain,United Kingdom of Great Britain and Northern Ireland,Beef and veal preparations nes,Export quantity,2019,t,228.31,Official figure,ESP,5.435074799902897
Spain,United Kingdom of Great Britain and Northern Ireland,Beef and veal preparations nes,Export quantity,2020,t,154.12,Official figure,ESP,5.044199010934396
Estonia,United Kingdom of Great Britain and Northern Ireland,Beef and veal preparations nes,Export quantity,2010,t,3.0,Official figure,EST,1.3862943611198906
Estonia,United Kingdom of Great Britain and Northern Ireland,Beef and veal preparations nes,Export quantity,2011,t,6.0,Official figure,EST,1.9459101490553132
Estonia,United Kingdom of Great Britain and Northern Ireland,Beef and veal preparations nes,Export quantity,2012,t,3.0,Official figure,EST,1.3862943611198906
Estonia,United Kingdom of Great Britain and Northern Ireland,Beef and veal preparations nes,Export quantity,2013,t,3.0,Official figure,EST,1.3862943611198906
Estonia,United Kingdom of Great Britain and Northern Ireland,Beef and veal preparations nes,Export quantity,2014,t,6.0,Official figure,EST,1.9459101490553132
Estonia,United Kingdom of Great Britain and Northern Ireland,Beef and veal preparations nes,Export quantity,2015,t,12.2,Official figure,EST,2.580216829592325
Estonia,United Kingdom of Great Britain and Northern Ireland,Beef and veal preparations nes,Export quantity,2016,t,21.19,Official figure,EST,3.0996417369445024
Estonia,United Kingdom of Great Britain and Northern Ireland,Beef and veal preparations nes,Export quantity,2017,t,9.7,Official figure,EST,2.3702437414678603
Estonia,United Kingdom of Great Britain and Northern Ireland,Beef and veal preparations nes,Export quantity,2018,t,0.14,Official figure,EST,0.1310282624064041
Estonia,United Kingdom of Great Britain and Northern Ireland,Beef and veal preparations nes,Export quantity,2019,t,0.05,Official figure,EST,0.04879016416943201
France,United Kingdom of Great Britain and Northern Ireland,Beef and veal preparations nes,Export quantity,2010,t,800.0,Official figure,FRA,6.68586094706836
France,United Kingdom of Great Britain and Northern Ireland,Beef and veal preparations nes,Export quantity,2011,t,2982.0,Official figure,FRA,8.000684784514748
France,United Kingdom of Great Britain and Northern Ireland,Beef and veal preparations nes,Export quantity,2012,t,3562.0,Official figure,FRA,8.178358165605836
France,United Kingdom of Great Britain and Northern Ireland,Beef and veal preparations nes,Export quantity,2013,t,700.0,Official figure,FRA,6.55250788703459
France,United Kingdom of Great Britain and Northern Ireland,Beef and veal preparations nes,Export quantity,2014,t,1388.5,Official figure,FRA,7.236699249182559
France,United Kingdom of Great Britain and Northern Ireland,Beef and veal preparations nes,Export quantity,2015,t,4685.6,Official figure,FRA,8.452462651844307
France,United Kingdom of Great Britain and Northern Ireland,Beef and veal preparations nes,Export quantity,2016,t,2832.92,Official figure,FRA,7.9494161912001085
France,United Kingdom of Great Britain and Northern Ireland,Beef and veal preparations nes,Export quantity,2017,t,4619.55,Official figure,FRA,8.438269024609227
France,United Kingdom of Great Britain and Northern Ireland,Beef and veal preparations nes,Export quantity,2018,t,3273.54,Official figure,FRA,8.093932680188935
France,United Kingdom of Great Britain and Northern Ireland,Beef and veal preparations nes,Export quantity,2019,t,2051.96,Official figure,FRA,7.627037933146708
France,United Kingdom of Great Britain and Northern Ireland,Beef and veal preparations nes,Export quantity,2020,t,4173.12,Official figure,FRA,8.336658836624943
Greece,United Kingdom of Great Britain and Northern Ireland,Beef and veal preparations nes,Export quantity,2010,t,2.0,Official figure,GRC,1.0986122886681098
Greece,United Kingdom of Great Britain and Northern Ireland,Beef and veal preparations nes,Export quantity,2011,t,3.0,Official figure,GRC,1.3862943611198906
Greece,United Kingdom of Great Britain and Northern Ireland,Beef and veal preparations nes,Export quantity,2012,t,14.0,Official figure,GRC,2.70805020110221
Greece,United Kingdom of Great Britain and Northern Ireland,Beef and veal preparations nes,Export quantity,2013,t,13.0,Official figure,GRC,2.6390573296152584
Greece,United Kingdom of Great Britain and Northern Ireland,Beef and veal preparations nes,Export quantity,2014,t,11.7,Official figure,GRC,2.5416019934645457
Greece,United Kingdom of Great Britain and Northern Ireland,Beef and veal preparations nes,Export quantity,2015,t,13.4,Official figure,GRC,2.667228206581955
Greece,United Kingdom of Great Britain and Northern Ireland,Beef and veal preparations nes,Export quantity,2016,t,19.24,Official figure,GRC,3.0076608444192647
Greece,United Kingdom of Great Britain and Northern Ireland,Beef and veal preparations nes,Export quantity,2017,t,23.83,Official figure,GRC,3.2120525995200753
Greece,United Kingdom of Great Britain and Northern Ireland,Beef and veal preparations nes,Export quantity,2018,t,35.15,Official figure,GRC,3.5876769486047735
Greece,United Kingdom of Great Britain and Northern Ireland,Beef and veal preparations nes,Export quantity,2019,t,42.45,Official figure,GRC,3.7716108517114013
Greece,United Kingdom of Great Britain and Northern Ireland,Beef and veal preparations nes,Export quantity,2020,t,56.53,Official figure,GRC,4.052306550875202
Croatia,United Kingdom of Great Britain and Northern Ireland,Beef and veal preparations nes,Export quantity,2010,t,11.0,Official figure,HRV,2.4849066497880004
Croatia,United Kingdom of Great Britain and Northern Ireland,Beef and veal preparations nes,Export quantity,2011,t,4.0,Official figure,HRV,1.6094379124341003
Croatia,United Kingdom of Great Britain and Northern Ireland,Beef and veal preparations nes,Export quantity,2012,t,14.0,Official figure,HRV,2.70805020110221
Croatia,United Kingdom of Great Britain and Northern Ireland,Beef and veal preparations nes,Export quantity,2013,t,13.0,Official figure,HRV,2.6390573296152584
Croatia,United Kingdom of Great Britain and Northern Ireland,Beef and veal preparations nes,Export quantity,2014,t,9.6,Official figure,HRV,2.3608540011180215
Croatia,United Kingdom of Great Britain and Northern Ireland,Beef and veal preparations nes,Export quantity,2015,t,17.4,Official figure,HRV,2.91235066461494
Croatia,United Kingdom of Great Britain and Northern Ireland,Beef and veal preparations nes,Export quantity,2016,t,7.75,Official figure,HRV,2.169053700369523
Croatia,United Kingdom of Great Britain and Northern Ireland,Beef and veal preparations nes,Export quantity,2017,t,14.15,Official figure,HRV,2.7180005319553784
Croatia,United Kingdom of Great Britain and Northern Ireland,Beef and veal preparations nes,Export quantity,2018,t,41.93,Official figure,HRV,3.7595708822364693
Croatia,United Kingdom of Great Britain and Northern Ireland,Beef and veal preparations nes,Export quantity,2019,t,53.23,Official figure,HRV,3.993234260852969
Croatia,United Kingdom of Great Britain and Northern Ireland,Beef and veal preparations nes,Export quantity,2020,t,64.56,Official figure,HRV,4.182965753875629
Hungary,United Kingdom of Great Britain and Northern Ireland,Beef and veal preparations nes,Export quantity,2012,t,1.0,Official figure,HUN,0.6931471805599453
Hungary,United Kingdom of Great Britain and Northern Ireland,Beef and veal preparations nes,Export quantity,2013,t,1.0,Official figure,HUN,0.6931471805599453
Hungary,United Kingdom of Great Britain and Northern Ireland,Beef and veal preparations nes,Export quantity,2014,t,3.6,Official figure,HUN,1.5260563034950494
Hungary,United Kingdom of Great Britain and Northern Ireland,Beef and veal preparations nes,Export quantity,2015,t,2.7,Official figure,HUN,1.308332819650179
Hungary,United Kingdom of Great Britain and Northern Ireland,Beef and veal preparations nes,Export quantity,2016,t,1.64,Official figure,HUN,0.9707789171582247
Hungary,United Kingdom of Great Britain and Northern Ireland,Beef and veal preparations nes,Export quantity,2017,t,3.5,Official figure,HUN,1.5040773967762742
Hungary,United Kingdom of Great Britain and Northern Ireland,Beef and veal preparations nes,Export quantity,2018,t,2.1,Official figure,HUN,1.1314021114911006
Hungary,United Kingdom of Great Britain and Northern Ireland,Beef and veal preparations nes,Export quantity,2019,t,1.36,Official figure,HUN,0.8586616190375187
Hungary,United Kingdom of Great Britain and Northern Ireland,Beef and veal preparations nes,Export quantity,2020,t,1.95,Official figure,HUN,1.0818051703517284
Ireland,United Kingdom of Great Britain and Northern Ireland,Beef and veal preparations nes,Export quantity,2010,t,42289.0,Official figure,IRL,10.652305930466534
Ireland,United Kingdom of Great Britain and Northern Ireland,Beef and veal preparations nes,Export quantity,2011,t,45864.0,Official figure,IRL,10.733457577943756
Ireland,United Kingdom of Great Britain and Northern Ireland,Beef and veal preparations nes,Export quantity,2012,t,46492.0,Official figure,IRL,10.747057042609113
Ireland,United Kingdom of Great Britain and Northern Ireland,Beef and veal preparations nes,Export quantity,2013,t,31006.0,Official figure,IRL,10.341968264428457
Ireland,United Kingdom of Great Britain and Northern Ireland,Beef and veal preparations nes,Export quantity,2014,t,34574.1,Official figure,IRL,10.450889048791971
Ireland,United Kingdom of Great Britain and Northern Ireland,Beef and veal preparations nes,Export quantity,2015,t,41167.6,Official figure,IRL,10.625431108842058
Ireland,United Kingdom of Great Britain and Northern Ireland,Beef and veal preparations nes,Export quantity,2016,t,37579.77,Official figure,IRL,10.534247762379687
Ireland,United Kingdom of Great Britain and Northern Ireland,Beef and veal preparations nes,Export quantity,2017,t,39764.75,Official figure,IRL,10.590761268020616
Ireland,United Kingdom of Great Britain and Northern Ireland,Beef and veal preparations nes,Export quantity,2018,t,35703.93,Official figure,IRL,10.483044053471556
Ireland,United Kingdom of Great Britain and Northern Ireland,Beef and veal preparations nes,Export quantity,2019,t,25811.12,Official figure,IRL,10.158599428045388
Ireland,United Kingdom of Great Britain and Northern Ireland,Beef and veal preparations nes,Export quantity,2020,t,23654.89,Official figure,IRL,10.07136741153841
Italy,United Kingdom of Great Britain and Northern Ireland,Beef and veal preparations nes,Export quantity,2010,t,21.0,Official figure,ITA,3.091042453358316
Italy,United Kingdom of Great Britain and Northern Ireland,Beef and veal preparations nes,Export quantity,2011,t,162.0,Official figure,ITA,5.093750200806762
Italy,United Kingdom of Great Britain and Northern Ireland,Beef and veal preparations nes,Export quantity,2012,t,60.0,Official figure,ITA,4.110873864173311
Italy,United Kingdom of Great Britain and Northern Ireland,Beef and veal preparations nes,Export quantity,2013,t,10.0,Official figure,ITA,2.3978952727983707
Italy,United Kingdom of Great Britain and Northern Ireland,Beef and veal preparations nes,Export quantity,2014,t,18.9,Official figure,ITA,2.990719731730447
Italy,United Kingdom of Great Britain and Northern Ireland,Beef and veal preparations nes,Export quantity,2015,t,45.8,Official figure,ITA,3.845883202923601
Italy,United Kingdom of Great Britain and Northern Ireland,Beef and veal preparations nes,Export quantity,2016,t,185.12,Official figure,ITA,5.226391626976448
Italy,United Kingdom of Great Britain and Northern Ireland,Beef and veal preparations nes,Export quantity,2017,t,220.52,Official figure,ITA,5.400512878862706
Italy,United Kingdom of Great Britain and Northern Ireland,Beef and veal preparations nes,Export quantity,2018,t,339.2,Official figure,ITA,5.829533679961761
Italy,United Kingdom of Great Britain and Northern Ireland,Beef and veal preparations nes,Export quantity,2019,t,590.56,Official figure,ITA,6.382763115298569
Italy,United Kingdom of Great Britain and Northern Ireland,Beef and veal preparations nes,Export quantity,2020,t,479.09,Official figure,ITA,6.173973586326008
Lithuania,United Kingdom of Great Britain and Northern Ireland,Beef and veal preparations nes,Export quantity,2010,t,1.0,Official figure,LTU,0.6931471805599453
Lithuania,United Kingdom of Great Britain and Northern Ireland,Beef and veal preparations nes,Export quantity,2011,t,2.0,Official figure,LTU,1.0986122886681098
Lithuania,United Kingdom of Great Britain and Northern Ireland,Beef and veal preparations nes,Export quantity,2012,t,3.0,Official figure,LTU,1.3862943611198906
Lithuania,United Kingdom of Great Britain and Northern Ireland,Beef and veal preparations nes,Export quantity,2013,t,2.0,Official figure,LTU,1.0986122886681098
Lithuania,United Kingdom of Great Britain and Northern Ireland,Beef and veal preparations nes,Export quantity,2014,t,1.3,Official figure,LTU,0.832909122935104
Lithuania,United Kingdom of Great Britain and Northern Ireland,Beef and veal preparations nes,Export quantity,2015,t,2.1,Official figure,LTU,1.1314021114911006
Lithuania,United Kingdom of Great Britain and Northern Ireland,Beef and veal preparations nes,Export quantity,2016,t,3.23,Official figure,LTU,1.4422019930581866
Lithuania,United Kingdom of Great Britain and Northern Ireland,Beef and veal preparations nes,Export quantity,2017,t,1.92,Official figure,LTU,1.0715836162801904
Lithuania,United Kingdom of Great Britain and Northern Ireland,Beef and veal preparations nes,Export quantity,2018,t,3.81,Official figure,LTU,1.5706970841176697
Lithuania,United Kingdom of Great Britain and Northern Ireland,Beef and veal preparations nes,Export quantity,2019,t,1.3,Official figure,LTU,0.832909122935104
Lithuania,United Kingdom of Great Britain and Northern Ireland,Beef and veal preparations nes,Export quantity,2020,t,3.36,Official figure,LTU,1.4724720573609429
Latvia,United Kingdom of Great Britain and Northern Ireland,Beef and veal preparations nes,Export quantity,2010,t,1.0,Official figure,LVA,0.6931471805599453
Latvia,United Kingdom of Great Britain and Northern Ireland,Beef and veal preparations nes,Export quantity,2011,t,3.0,Official figure,LVA,1.3862943611198906
Latvia,United Kingdom of Great Britain and Northern Ireland,Beef and veal preparations nes,Export quantity,2012,t,1.0,Official figure,LVA,0.6931471805599453
Latvia,United Kingdom of Great Britain and Northern Ireland,Beef and veal preparations nes,Export quantity,2013,t,1.0,Official figure,LVA,0.6931471805599453
Latvia,United Kingdom of Great Britain and Northern Ireland,Beef and veal preparations nes,Export quantity,2014,t,2.65,Official figure,LVA,1.2947271675944
Latvia,United Kingdom of Great Britain and Northern Ireland,Beef and veal preparations nes,Export quantity,2015,t,14.6,Official figure,LVA,2.747270914255491
Latvia,United Kingdom of Great Britain and Northern Ireland,Beef and veal preparations nes,Export quantity,2016,t,4.14,Official figure,LVA,1.6370530794670737
Latvia,United Kingdom of Great Britain and Northern Ireland,Beef and veal preparations nes,Export quantity,2017,t,0.63,Official figure,LVA,0.48858001481867097
Latvia,United Kingdom of Great Britain and Northern Ireland,Beef and veal preparations nes,Export quantity,2019,t,0.24,Official figure,LVA,0.2151113796169455
Latvia,United Kingdom of Great Britain and Northern Ireland,Beef and veal preparations nes,Export quantity,2020,t,1.66,Official figure,LVA,0.9783261227936076
Namibia,United Kingdom of Great Britain and Northern Ireland,Beef and veal preparations nes,Export quantity,2014,t,0.02,Official figure,NAM,0.019802627296179712
Namibia,United Kingdom of Great Britain and Northern Ireland,Beef and veal preparations nes,Export quantity,2015,t,82.62,Official figure,NAM,4.426282725928419
Namibia,United Kingdom of Great Britain and Northern Ireland,Beef and veal preparations nes,Export quantity,2016,t,188.7,Official figure,NAM,5.245443876940969
Netherlands (Kingdom of the),United Kingdom of Great Britain and Northern Ireland,Beef and veal preparations nes,Export quantity,2010,t,529.0,Official figure,NLD,6.272877006546167
Netherlands (Kingdom of the),United Kingdom of Great Britain and Northern Ireland,Beef and veal preparations nes,Export quantity,2011,t,4906.0,Official figure,NLD,8.498418036089904
